control_id,process,sub_process,risk_id,risk_title,risk_description,wcgw,control_id_ref,control_title,control_description,control_type,control_nature,frequency,assertion,owner_function,key_control,automation,evidence_expected,test_procedure,referential_mapping
P2P-001,Procure-to-Pay,Vendor Master Data,R-P2P-01,Fournisseur fictif,Création d'un fournisseur fictif permettant des décaissements frauduleux,Un employé crée un fournisseur fictif à son nom pour détourner des paiements,C-P2P-01,Validation par un tiers de la création de fournisseur,Toute création de fournisseur dans l'ERP doit être validée par une personne distincte du demandeur,Préventif,Manuel,Permanent,Existence,Comptabilité Fournisseurs,Oui,Semi-auto,Workflow d'approbation + journal d'audit ERP,Sélectionner 25 créations de fournisseurs sur la période. Vérifier la validation par un tiers indépendant.,COSO / SOX
P2P-002,Procure-to-Pay,Vendor Master Data,R-P2P-02,Doublons fournisseurs,Doublons dans la base fournisseurs entraînant double paiement,Plusieurs fiches pour un même fournisseur permettent des paiements en doublon,C-P2P-02,Contrôle anti-doublons sur SIRET et IBAN,L'ERP bloque la création si SIRET ou IBAN existe déjà. Revue trimestrielle des doublons potentiels,Préventif,Automatique,Continu,Exactitude,Comptabilité Fournisseurs,Oui,Auto,Rapport ERP des doublons + paramétrage du contrôle,Tester par tentative de création d'un doublon. Fuzzy matching sur la base.,COSO
P2P-003,Procure-to-Pay,Vendor Master Data,R-P2P-03,Modification IBAN frauduleuse,Modification non autorisée des coordonnées bancaires fournisseur,Un attaquant modifie l'IBAN pour rediriger les paiements,C-P2P-03,Double validation des modifications d'IBAN avec callback,Toute modification d'IBAN nécessite double validation et appel de confirmation au fournisseur sur un numéro vérifié,Préventif,Manuel,Permanent,Existence,Comptabilité Fournisseurs,Oui,Manuel,Trace de l'appel + double validation,Sélectionner 15 modifications d'IBAN. Vérifier le callback et la double validation.,AFA Sapin 2 / ANSSI
P2P-004,Procure-to-Pay,Purchase Requisition,R-P2P-04,Achat hors budget,Engagement de dépenses au-delà du budget alloué,Un manager engage des dépenses sans contrôle budgétaire,C-P2P-04,Contrôle budgétaire bloquant à l'engagement,L'ERP vérifie la disponibilité budgétaire avant validation. Blocage sauf override Direction,Préventif,Automatique,Continu,Autorisation,Contrôle de Gestion,Oui,Auto,Paramétrage ERP + log des overrides,Tenter une saisie au-delà du budget. Lister les overrides et les justifier.,COSO
P2P-005,Procure-to-Pay,Purchase Requisition,R-P2P-05,Fractionnement de commandes,Découpage volontaire pour passer sous les seuils de validation,Contournement de la matrice de délégation par fractionnement,C-P2P-05,Détection des commandes fractionnées,Revue mensuelle des commandes au même fournisseur sur 30 jours glissants,Détectif,Manuel,Mensuel,Autorisation,Audit Interne,Non,Semi-auto,Rapport d'analyse + justifications,Extraire les commandes par fournisseur. Identifier les patterns proches des seuils.,AFA Sapin 2
P2P-006,Procure-to-Pay,Purchase Order,R-P2P-06,Commande sans appel d'offres,Attribution directe contournant les règles de mise en concurrence,Favoritisme ou conflit d'intérêt avec un fournisseur,C-P2P-06,Mise en concurrence obligatoire au-delà d'un seuil,Au-delà de 50k EUR trois devis sont obligatoires. Justification écrite si dérogation,Préventif,Manuel,Permanent,Autorisation,Direction Achats,Oui,Manuel,Devis comparatifs + fiche de dérogation,Sélectionner 30 commandes >50k. Vérifier les 3 devis ou la dérogation.,AFA Sapin 2
P2P-007,Procure-to-Pay,Purchase Order,R-P2P-07,Conflit d'intérêt acheteur,Acheteur ayant un lien personnel avec un fournisseur,Avantage indu accordé à un fournisseur lié à l'acheteur,C-P2P-07,Déclaration annuelle de conflits d'intérêts,Tous les acheteurs signent une déclaration annuelle. Cross-check avec la base fournisseurs,Préventif,Manuel,Annuel,Autorisation,RH / Compliance,Oui,Manuel,Déclarations + rapport de cross-check,Vérifier 100% de signatures. Fuzzy match acheteurs vs dirigeants fournisseurs.,AFA Sapin 2
P2P-008,Procure-to-Pay,Goods Receipt,R-P2P-08,Réception fictive,Enregistrement d'une réception de marchandise non livrée,Détournement permettant un paiement sans contrepartie,C-P2P-08,Ségrégation des tâches réception et paiement,La personne qui réceptionne ne peut ni créer le fournisseur ni valider le paiement,Préventif,Automatique,Continu,Existence,IT / Comptabilité,Oui,Auto,Matrice SoD + rapport des droits ERP,Extraire la matrice SoD. Identifier les utilisateurs cumulant des droits incompatibles.,COSO / SOX
P2P-009,Procure-to-Pay,Goods Receipt,R-P2P-09,Quantité reçue erronée,Erreur dans la quantité enregistrée vs livrée,Surévaluation des stocks et paiement excédentaire,C-P2P-09,Three-way match obligatoire,Le système bloque si la facture ne correspond pas au PO et au bon de réception,Préventif,Automatique,Continu,Exactitude,IT / Comptabilité,Oui,Auto,Paramétrage 3WM + rapport d'exceptions,Lister les factures payées sans 3WM. Justifier les overrides.,COSO / SOX
P2P-010,Procure-to-Pay,Invoice Processing,R-P2P-10,Facture en doublon,Paiement d'une même facture deux fois,Erreur de saisie ou fraude avec scan multiple,C-P2P-10,Contrôle anti-doublon sur numéro de facture,L'ERP bloque toute saisie si numéro de facture déjà enregistré pour le fournisseur sur 24 mois,Préventif,Automatique,Continu,Exactitude,Comptabilité Fournisseurs,Oui,Auto,Paramétrage ERP + tentatives bloquées,"Tester la création d'un doublon. Check sur (fournisseur,numéro,montant) sur 24 mois.",COSO
